lat,lon,value
30.200000000000003,154.79999999999973,-4.3851178054281927
30.200000000000003,154.89999999999972,-4.3835794959430503
30.200000000000003,154.99999999999972,-4.3836397006397823
30.200000000000003,155.0999999999997,-4.3872897888875677
30.200000000000003,155.1999999999997,-4.3919378961506208
30.200000000000003,155.2999999999997,-4.3924698105077509
30.200000000000003,155.3999999999997,-4.3905428889530338
30.200000000000003,155.4999999999997,-4.387406354531473
30.200000000000003,155.59999999999968,-4.3832722022625212
30.200000000000003,155.69999999999968,-4.378099226837314
30.200000000000003,155.79999999999967,-4.370980741811076
30.200000000000003,155.89999999999966,-4.363980150835042
30.200000000000003,155.99999999999966,-4.3635849544249847
30.200000000000003,156.09999999999965,-4.3672354729877139
30.200000000000003,156.19999999999965,-4.3647326080677837
30.200000000000003,156.29999999999964,-4.3590731674754695
30.200000000000003,156.39999999999964,-4.3549125871903538
30.200000000000003,156.49999999999963,-4.3569614401542101
30.200000000000003,156.59999999999962,-4.3610178626452729
30.200000000000003,156.69999999999962,-4.3616585300678157
30.200000000000003,156.7999999999996,-4.3595197115400506
30.200000000000003,156.8999999999996,-4.3562576410889076
30.200000000000003,156.9999999999996,-4.354452874145494
30.200000000000003,157.0999999999996,-4.3559994436513989
30.200000000000003,157.1999999999996,-4.3604354323242287
30.200000000000003,157.29999999999959,-4.3652867750213158
30.200000000000003,157.39999999999958,-4.3696722528545342
30.200000000000003,157.49999999999957,-4.3759859645926706
30.200000000000003,157.59999999999957,-4.3808604920831495
30.200000000000003,157.69999999999956,-4.3821698968504856
30.200000000000003,157.79999999999956,-4.3737784566218405
30.200000000000003,157.89999999999955,-4.3570670326116474
30.200000000000003,157.99999999999955,-4.3498305416198946
30.200000000000003,158.09999999999954,-4.3530541703292496
30.200000000000003,158.19999999999953,-4.3518327642837722
30.200000000000003,158.29999999999953,-4.3469490179652546
30.200000000000003,158.39999999999952,-4.3400811463043247
30.200000000000003,158.49999999999952,-4.3309212051627117
30.200000000000003,158.5999999999995,-4.315001579008646
30.200000000000003,158.6999999999995,-4.2947315354255107
30.200000000000003,158.7999999999995,-4.2837680733495409
30.200000000000003,158.8999999999995,-4.2889067785213237
30.200000000000003,158.9999999999995,-4.3099484588855619
30.200000000000003,159.09999999999948,-4.3317817493356969
30.200000000000003,159.19999999999948,-4.3472849155201656
30.200000000000003,159.29999999999947,-4.3577705635914104
30.200000000000003,159.39999999999947,-4.3704103278551827
30.200000000000003,159.49999999999946,-4.3863424069309254
30.200000000000003,159.59999999999945,-4.3894023553385546
30.200000000000003,159.69999999999945,-4.3869911762967089
30.200000000000003,158.7,-4.3840571944687214
30.200000000000003,160,-4.3838239947813786
30.300000000000004,150,-4.375962704333821
30.300000000000004,150.1,-4.3697926675839067
30.300000000000004,150.2,-4.3623528094845021
30.300000000000004,150.29999999999998,-4.3592237805695735
30.300000000000004,150.39999999999998,-4.3594364745634824
30.300000000000004,150.49999999999997,-4.3612403935475985
30.300000000000004,150.59999999999997,-4.3632457525955219
30.300000000000004,150.69999999999996,-4.3750923993386603
30.300000000000004,150.79999999999995,-4.4042833633140752
30.300000000000004,150.89999999999995,-4.3947784408781265
30.300000000000004,150.99999999999994,-4.3865829884163805
30.300000000000004,151.09999999999994,-4.3857063415800059
30.300000000000004,151.19999999999993,-4.3848067108212945
30.300000000000004,151.29999999999993,-4.382823801801063
30.300000000000004,151.39999999999992,-4.3816150421004529
30.300000000000004,151.49999999999991,-4.3842461727550077
30.300000000000004,151.5999999999999,-4.3858091327961972
30.300000000000004,151.6999999999999,-4.3827343944956612
30.300000000000004,151.7999999999999,-4.379852690886084
